Symbol,Sector
ASTRAMICRO.NS,Aerospace & Defense
ASTRAZEN.NS,Pharmaceuticals & Biotechnology
ASTRON.NS,"Paper, Forest & Jute Products"
ATALREAL.NS,Realty
ATAM.NS,Industrial Manufacturing
ATCENERGY.NS,Electrical Equipment
ATGL.NS,Gas
ATHERENERG.NS,Automobiles
ATL.NS,Transport Infrastructure
ATLANTAA.NS,Construction
ATLANTAELE.NS,Electrical Equipment
ATLASCYCLE.NS,Consumer Durables
ATMASTCO.NS,Construction
ATUL.NS,Chemicals & Petrochemicals
ATULAUTO.NS,"Agricultural, Commercial & Construction Vehicles"
AUBANK.NS,Banks
AURIGROW.NS,Industrial Manufacturing
AURIONPRO.NS,IT - Software
AUROIMPEX.NS,Industrial Products
AUROPHARMA.NS,Pharmaceuticals & Biotechnology
AURUM.NS,IT - Services
AUSL.NS,Industrial Products
AUSOMENT.NS,Consumer Durables
AUTOAXLES.NS,Auto Components
AUTOIND.NS,Auto Components
AVADHSUGAR.NS,Agricultural Food & other Products
AVALON.NS,Electrical Equipment
AVANA.NS,Electrical Equipment
AVANTEL.NS,Aerospace & Defense
AVANTIFEED.NS,Food Products
AVG.NS,Transport Services
AVIANSH.NS,Textiles & Apparels
AVL.NS,Retailing
AVONMORE.NS,Finance
AVPINFRA.NS,Construction
AVROIND.NS,Consumer Durables
AVTNPL.NS,Agricultural Food & other Products
AWFIS.NS,Commercial Services & Supplies
AWHCL.NS,Other Utilities
AWL.NS,Agricultural Food & other Products
AXISBANK.NS,Banks
AXISCADES.NS,Aerospace & Defense
AXITA.NS,Textiles & Apparels
AYE.NS,Finance
AYMSYNTEX.NS,Textiles & Apparels
AZAD.NS,Electrical Equipment
BABAFP.NS,Food Products
BAFNAPH.NS,Pharmaceuticals & Biotechnology
BAGDIGITAL.NS,Entertainment
BAGFILMS.NS,Entertainment
BAHETI.NS,Industrial Products
BAIDFIN.NS,Finance
BAJAJ-AUTO.NS,Automobiles
BAJAJCON.NS,Personal Products
BAJAJELEC.NS,Consumer Durables
BAJAJFINSV.NS,Finance
BAJAJHCARE.NS,Pharmaceuticals & Biotechnology
BAJAJHFL.NS,Finance
BAJAJHIND.NS,Agricultural Food & other Products
BAJAJHLDNG.NS,Finance
BAJAJINDEF.NS,Industrial Manufacturing
BAJEL.NS,Electrical Equipment
BAJFINANCE.NS,Finance
BALAJEE.NS,Industrial Products
BALAJIPHOS.NS,Fertilizers & Agrochemicals
BALAJITELE.NS,Entertainment
BALAMINES.NS,Chemicals & Petrochemicals
BALAXI.NS,Pharmaceuticals & Biotechnology
BALCO.NS,Industrial Products
BALKRISHNA.NS,"Paper, Forest & Jute Products"
BALKRISIND.NS,Auto Components
BALMLAWRIE.NS,Diversified
BALPHARMA.NS,Pharmaceuticals & Biotechnology
BALRAMCHIN.NS,Agricultural Food & other Products
BALUFORGE.NS,Industrial Products
BANARBEADS.NS,Consumer Durables
BANARISUG.NS,Agricultural Food & other Products
BANCOINDIA.NS,Auto Components
BANDHANBNK.NS,Banks
BANG.NS,Textiles & Apparels
BANKA.NS,Construction
BANKBARODA.NS,Banks
BANKINDIA.NS,Banks
BANSALWIRE.NS,Industrial Products
BANSWRAS.NS,Textiles & Apparels
BARFLEX.NS,Industrial Products
BASF.NS,Chemicals & Petrochemicals
BASILIC.NS,Entertainment
BASML.NS,Textiles & Apparels
BATAINDIA.NS,Consumer Durables
BAWEJA.NS,Entertainment
BAYERCROP.NS,Fertilizers & Agrochemicals
BBL.NS,Electrical Equipment
BBOX.NS,IT - Services
BBTC.NS,Food Products
BBTCL.NS,Industrial Products
BCG.NS,IT - Services
BCLIND.NS,Beverages
BCONCEPTS.NS,Retailing
BCP.NS,Industrial Products
BCPL.NS,Construction
BDL.NS,Aerospace & Defense
BEACON.NS,Capital Markets
BEARDSELL.NS,Industrial Products
BECTORFOOD.NS,Food Products
BEDMUTHA.NS,Industrial Products
BEL.NS,Aerospace & Defense
BELLACASA.NS,Textiles & Apparels
BELRISE.NS,Auto Components
BEML.NS,"Agricultural, Commercial & Construction Vehicles"
BEPL.NS,Chemicals & Petrochemicals
BERGEPAINT.NS,Consumer Durables
BESTAGRO.NS,Fertilizers & Agrochemicals
BETA.NS,Pharmaceuticals & Biotechnology
BEWLTD.NS,Industrial Manufacturing
BFINVEST.NS,Finance
BFUTILITIE.NS,Transport Infrastructure
BGLOBAL.NS,IT - Services
BGRENERGY.NS,Construction
BHADORA.NS,Industrial Products
BHAGCHEM.NS,Fertilizers & Agrochemicals
BHAGERIA.NS,Chemicals & Petrochemicals
BHAGYANGR.NS,Non - Ferrous Metals
BHANDARI.NS,Textiles & Apparels
BHARATCOAL.NS,Consumable Fuels
BHARATFORG.NS,Auto Components
BHARATGEAR.NS,Auto Components
BHARATRAS.NS,Fertilizers & Agrochemicals
BHARATSE.NS,Auto Components
BHARATWIRE.NS,Industrial Products
BHARTIARTL.NS,Telecom - Services
BHARTIHEXA.NS,Telecom - Services
BHEL.NS,Electrical Equipment
BIGBLOC.NS,Cement & Cement Products
BIKAJI.NS,Food Products
